field,required_status,expected_type,data_layer,data_status,source_type,claim_boundary,business_purpose,phase0_decision,notes
transaction_id,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Unique synthetic transaction key,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
customer_id,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance","Customer key for tenure, frequency and repeat behaviour",LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
transaction_datetime,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Event timestamp for velocity and SLA logic,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
amount,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Transaction exposure and alert economics,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
channel,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance","Channel segmentation such as card_not_present, POS, wallet or transfer",LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
merchant_category,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Merchant and control segmentation,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
country_pair_type,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Domestic versus cross-border diagnostic group,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
device_id,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Device linkage,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
device_trust_status,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Trusted versus new device diagnostic group,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
beneficiary_id,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Beneficiary risk and velocity testing,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
beneficiary_age_days,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",New beneficiary rule support,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
customer_tenure_days,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",New versus established customer group,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
velocity_1h,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Velocity rule feature,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
velocity_24h,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Velocity rule feature,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
transaction_frequency_band,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Low versus high transaction-frequency diagnostic group,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
project3_risk_segment_synthetic,Optional contextual,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Synthetic customer-context feature only; non-causal,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
latent_fraud_archetype,Required hidden,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Hidden data-generation driver; must not be used directly by detection rules,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
synthetic_fraud_label,Required output,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Synthetic transaction-fraud label generated from latent risk and stochastic outcomes,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
rule_trigger_flags,Required derived,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance","Rule-testing output, not a label source",LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
data_layer,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Mandatory output separation field,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
data_status,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Mandatory output separation field,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
source_type,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Mandatory output separation field,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
claim_boundary,Required,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Mandatory output separation field,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
dispute_id,Required only for friendly-fraud claim layer,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Separate dispute/claim key,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
friendly_fraud_label,Required only for friendly-fraud claim layer,string/numeric/date/binary as applicable,Layer B - Synthetic Controls-Testing Environment,Synthetic,Generated from documented synthetic methodology,"Controls-testing, rule governance, alert operations and UAT/SIT only; not observed fraud performance",Post-transaction claim outcome; not real-time transaction fraud,LOCKED,Must remain interpretable and must not be mixed with observed PCA performance claims.
