device_id,device_age_days,device_trust_score,device_country,device_change_count,emulator_flag,rooted_device_flag,data_layer,data_status,source_type,claim_boundary
D0036683,402,76.79,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0016275,245,52.32,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0051876,520,64.97,PH,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0046276,314,51.89,TH,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0027557,127,75.3,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0043148,320,66.08,PH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0032853,382,81.01,MY,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0017495,120,92.63,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0033759,335,75.86,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0034572,362,87.09,ID,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0009708,357,84.76,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0056837,129,88.06,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0018141,396,92.75,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0016567,1020,76.87,SG,0,0,1,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0053416,1246,48.51,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0010106,256,67.32,ID,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0005105,258,43.39,ID,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0052929,733,86.95,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0061264,129,81.47,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
