alert_id,transaction_id,transaction_time,customer_id,device_id,beneficiary_id,amount,channel,merchant_category,country,home_country,account_age_days,customer_segment,customer_vulnerability_score,usual_transaction_amount,usual_transaction_hour,p3_synthetic_risk_grade_context,p3_synthetic_pd_context,device_age_days,device_trust_score,device_country,emulator_flag,rooted_device_flag,beneficiary_age_hours,beneficiary_risk_score,beneficiary_country,mobile_channel_flag,card_channel_flag,api_channel_flag,transfer_merchant_flag,ip_risk_score,failed_otp_count,transactions_last_10m,transactions_last_1h,amount_last_24h,distance_from_last_transaction,night_transaction_flag,new_device_flag,new_beneficiary_flag,high_risk_merchant_flag,country_mismatch_flag,device_country_mismatch_flag,amount_spike_ratio,account_takeover_signal,mule_network_signal,social_engineering_signal,password_reset_recent_flag,multiple_accounts_device_flag,privileged_override_flag,blacklist_hit,duplicate_transaction_flag,transaction_fraud_label,fraud_type,simulation_day,synthetic_split,data_layer,data_status,source_type,claim_boundary,synthetic_model_score_raw,synthetic_model_score,synthetic_anomaly_score,model_feature_set,rule_hit_count,critical_rule_hits,high_rule_hits,medium_rule_hits,rule_hits,rule_reason_codes,rule_primary_action,highest_rule_priority,max_rule_severity,decision,primary_reason_code,all_reason_codes,expected_prevented_loss_proxy,customer_friction_risk,review_priority,sla_hours,override_eligibility,decision_engine_version,model_step_up_threshold,model_review_threshold,model_decline_threshold,anomaly_review_threshold,detection_confidence,potential_loss_proxy,alert_priority_score,assigned_team,arrival_day,processed_day,queue_age_hours,capacity_status,handling_minutes,sla_breach_flag,investigation_status,outcome,analyst_action,prevented_loss_proxy,recovery_proxy
AL000001886,T000084810,2026-01-30 04:15:00,C0031368,D0041210,B0023738,3.12,CARD,RETAIL,VN,VN,2456,Mass,13.91,23.97,10,B,0.16,689,70.16,MY,0,0,3200,4.11,VN,0,1,0,0,1.9,0,4,9,4.49,63.27,1,0,0,0,0,1,0.1301,0,0,0,0,0,0,0,0,0,NONE,30,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8869033927423893,0.1208307034988716,0.4143873167282815,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.2639,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.4424,0.377,0.1784,Fraud Operations,30,30,0.0,Within simulation window,15,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000003283,T000146407,2026-01-15 14:02:00,C0009743,D0045746,B0066469,70.51,API,TRANSFER,MY,TH,943,SME,11.68,84.67,15,A,0.1,28,79.4,SG,0,0,1103,45.52,VN,0,0,1,1,11.98,1,4,7,94.49,62.67,0,0,0,0,1,1,0.8327,0,0,1,1,1,0,0,0,0,NONE,15,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.5440956209362175,0.0180986724169344,0.995272533358898,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH,0.8933,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5038,1.2761,0.6805,Fraud Operations,15,15,0.0,Within simulation window,12,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000003606,T000161106,2026-01-27 15:48:00,C0040838,D0013958,B0079735,3.44,CARD,TRAVEL,VN,VN,959,Mass,15.44,30.53,13,A,0.1,603,96.83,VN,0,0,1341,50.03,TH,0,1,0,0,6.73,1,9,19,6.42,93.03,0,0,0,0,0,0,0.1126,0,0,0,0,0,0,0,0,0,NONE,27,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.8997585337064178,observable_controls_v1,1,0,1,0,FRD-030,RC_HIGH_VELOCITY,HOLD,3,HIGH,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH;RC_HIGH_VELOCITY,0.2991,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.636,0.4272,0.2927,Fraud Operations,27,27,0.0,Within simulation window,11,0,CLOSED,SYSTEM_ERROR,Route technology incident,0.0,0.0
AL000004545,T000203295,2026-01-21 15:12:00,C0031717,D0030884,B0048593,371.55,MOBILE,RETAIL,PH,PH,1279,Mass,11.73,117.17,12,C,0.22,603,83.52,VN,0,0,1868,5.26,VN,1,0,0,0,59.49,5,0,2,1761.05,238.42,0,1,0,0,0,1,3.171,1,0,1,0,0,0,0,0,0,NONE,21,validation,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.6218346143174962,0.025292460310223,0.906427317447288,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,6.5782,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7323,9.3974,10.9278,ATO & Account Security,21,21,0.0,Within simulation window,19,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000004909,T000219781,2026-01-30 13:24:00,C0049890,D0031412,B0083928,132.51,MOBILE,GROCERY,VN,VN,2433,Mass,17.56,137.61,13,B,0.16,495,34.71,PH,0,0,3269,5.69,SG,1,0,0,0,42.18,6,0,1,158.2,178.22,0,1,1,0,0,1,0.9629,1,0,0,1,0,0,0,0,0,NONE,30,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.4605037776880724,0.0127258368177831,0.9695380983480828,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,1.1804,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7386,1.6863,2.0323,ATO & Account Security,30,30,0.0,Within simulation window,18,0,CLOSED,SYSTEM_ERROR,Route technology incident,0.0,0.0
AL000002003,T000089924,2026-01-18 16:07:00,C0039280,D0022166,B0022102,3.27,CARD,UTILITIES,SG,SG,566,Mass,14.3,19.68,15,B,0.16,531,83.04,VN,0,0,1367,9.29,VN,0,1,0,0,5.69,2,7,9,4.19,7.66,0,0,0,0,0,1,0.1663,0,0,0,0,0,0,0,0,0,NONE,18,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8883218874957592,0.1224520035884287,0.1295649412511908,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.2803,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.4,0.4004,0.1716,Fraud Operations,18,18,0.0,Within simulation window,15,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000005410,T000243664,2026-01-24 10:27:00,C0039359,D0021457,B0015910,1823.68,WEB,TRANSFER,VN,VN,462,Digital_Native,11.37,580.72,12,C,0.22,40,78.36,ID,0,0,3401,30.7,SG,0,0,0,1,2.69,0,0,2,6315.51,17.73,0,1,0,0,1,1,3.1404,0,1,0,0,1,0,0,0,0,NONE,24,validation,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.0939104686074232,0.0013566597769832,0.995799804669946,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH,1.7319,Medium,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.4997,18.2368,14.4468,Fraud Operations,24,24,0.0,Within simulation window,17,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000000675,T000030660,2026-01-27 15:56:00,C0003698,D0030968,B0008410,20.86,API,TRANSFER,MY,MY,336,Digital_Native,31.37,19.36,20,A,0.1,65,87.59,MY,0,0,2633,53.9,TH,0,0,1,1,36.31,0,4,9,81.5,67.75,0,1,1,0,1,0,1.0776,0,1,0,0,0,0,0,0,0,NONE,27,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.5931723622330682,0.022314476821895,0.9989334739390164,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH,0.3258,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5054,0.4655,0.2722,Fraud Operations,27,27,0.0,Within simulation window,10,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000000597,T000027148,2026-01-19 12:48:00,C0013884,D0030170,B0029667,4.1,CARD,GROCERY,VN,VN,856,Digital_Native,17.6,9.36,12,D,0.29,376,43.51,VN,0,0,3032,25.75,MY,0,1,0,0,13.02,1,7,14,13.74,26.68,0,0,0,0,0,0,0.4384,0,0,1,0,0,0,0,0,0,NONE,19,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.8002720240627453,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.3564,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5011,0.5092,0.2776,Fraud Operations,19,19,0.0,Within simulation window,11,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000002470,T000109979,2026-01-27 12:01:00,C0038857,D0058447,B0049124,732.48,API,TRANSFER,VN,VN,1688,Mass,11.29,339.46,14,A,0.1,106,79.34,SG,0,0,1829,19.81,VN,0,0,1,1,9.68,1,1,4,2056.58,138.49,0,1,1,0,1,1,2.1578,0,0,1,0,1,0,0,0,0,NONE,27,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.5190029334957438,0.0162830468097216,0.9977291383308268,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH,8.3489,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5037,11.927,6.3471,Fraud Operations,27,27,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
