customer_id,account_age_days,customer_segment,home_country,usual_channel,usual_transaction_amount,usual_transaction_hour,historical_fraud_vulnerability,customer_vulnerability_score,p3_synthetic_risk_grade_context,p3_synthetic_pd_context,p3_context_noncausal_flag,data_layer,data_status,source_type,claim_boundary
C0009863,794,Mass,VN,MOBILE,26.35,11,0.110939,11.09,B,0.16,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0035442,1915,Mass,VN,WEB,36.56,9,0.220146,22.01,D,0.29,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0029525,673,Mass,ID,MOBILE,57.94,13,0.073621,7.36,C,0.22,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0028653,257,Mass,PH,MOBILE,148.43,19,0.202381,20.24,D,0.29,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0007933,1045,Mass,VN,MOBILE,21.64,18,0.089047,8.9,D,0.29,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0015500,1015,SME,MY,CARD,28.25,9,0.13091,13.09,C,0.22,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0014985,786,SME,SG,CARD,113.77,12,0.140196,14.02,D,0.29,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0045983,258,Mass,ID,MOBILE,118.87,14,0.23944,23.94,C,0.22,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0033349,303,Mass,VN,CARD,31.55,16,0.060319,6.03,A,0.1,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0005993,1530,SME,ID,MOBILE,134.73,14,0.02986,2.99,E,0.36,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0006627,1124,SME,TH,CARD,20.96,13,0.102912,10.29,A,0.1,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0035127,462,Mass,VN,MOBILE,146.06,14,0.144271,14.43,C,0.22,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0025842,999,Mass,VN,MOBILE,70.37,15,0.278438,27.84,C,0.22,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0013035,558,Digital_Native,TH,MOBILE,193.26,10,0.161742,16.17,B,0.16,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0031486,1585,Mass,VN,MOBILE,62.91,9,0.066855,6.69,A,0.1,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0025773,427,Mass,ID,MOBILE,259.85,14,0.241209,24.12,C,0.22,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0031332,386,Affluent,ID,MOBILE,41.27,12,0.142691,14.27,E,0.36,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0000883,1350,Mass,ID,CARD,59.05,22,0.161945,16.19,B,0.16,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0016567,737,SME,SG,MOBILE,139.09,9,0.185765,18.58,B,0.16,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0012153,2152,SME,VN,CARD,81.28,13,0.063766,6.38,C,0.22,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0034246,780,Mass,VN,CARD,48.7,14,0.247165,24.72,C,0.22,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0006061,387,SME,MY,MOBILE,46.3,15,0.132568,13.26,C,0.22,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0013451,1869,Affluent,ID,MOBILE,128.91,15,0.092512,9.25,D,0.29,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0011558,949,Mass,VN,CARD,256.51,10,0.145762,14.58,A,0.1,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0023925,644,SME,SG,MOBILE,79.3,14,0.128781,12.88,D,0.29,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
C0027549,1543,Mass,ID,WEB,267.65,9,0.061802,6.18,B,0.16,1,Synthetic,Synthetic,Seeded customer generator with frozen P3 distribution context,Controls testing only; P3 context is synthetic and non-causal
